serial_number,range,section,subdivision,township
NDM077623,79,1,SWNW,160
NDM077623,79,1,POR SENW ACQ BY F&W SVC,160
NDM077623,79,1,TR 70 13.92 AC,160
NDM077623,79,1,4,160
NDM077623,,,,
NDM102619,100,14,"S2SW,SWSE",140
NDM102619,,,,
NDM092908,96,2,"SWNE,SENW,NESW,NWSE,S2S2",148
NDM092908,96,5,"S2N2,N2S2",148
NDM092908,96,5,"1,2,3,4",148
NDM092908,96,6,"S2NE,SENW,NESW,N2SE",148
NDM092908,96,6,8-Jan,148
NDM092908,,,,
NDM092909,96,7,SESW,148
NDM092909,96,7,"3-8,10,12,13",148
NDM092909,96,8,"SENW,NESW,N2SE",148
NDM092909,96,17,"N2NE,SENE",148
NDM092909,96,17,BED LTL MO RVR RIPAR TO,148
NDM092909,96,17,"LOTS 1-6,9 DESC BY M&B",148
NDM092909,96,17,"1-6,9",148
NDM092909,,,,
NDM081579,101,25,1,147
NDM081579,101,25,"BED OF LITTLE MISSOURI,",147
NDM081579,101,25,"RIVER RIPARIAN TO LOT 1,",147
NDM081579,101,25,AS DESCRIBED BY M&B,147
NDM081579,,,,
NDM072724,101,18,BED OF LITTLE MISSOURI,145
NDM072724,101,18,"RIV RIPAR TO LOTS 3,4",145
NDM072724,101,18,DESC BY M&B (TRACT 9),145
NDM072724,102,2,BED OF LITTLE MISSOURI,145
NDM072724,102,2,"RIV RIPAR TO LOTS 5,6,7",145
NDM072724,102,2,DESC BY M&B (PART OF,145
NDM072724,102,2,TRACT 1),145
NDM072724,102,12,BED OF LITTLE MISSOURI,145
NDM072724,102,12,"RIV RIPAR TO LOTS 1,3,8",145
NDM072724,102,12,DESC BY M&B (PART OF,145
NDM072724,102,12,TRACT 1 & ALL OF TRACTS,145
NDM072724,102,12,2 & 3),145
NDM072724,102,24,BED OF LITTLE MISSOURI,145
NDM072724,102,24,"RIV RIPAR TO LOTS 1-7,9",145
NDM072724,102,24,DESC BY M&B(TRACTS 4-7),145
NDM072724,102,26,BED OF LITTLE MISSOURI,145
NDM072724,102,26,RIV INCL IN RESURVEYED,145
NDM072724,102,26,LOTS 9 & 10 (10.68 AC),145
NDM072724,,,,
NDM072725,102,2,"SW,W2SE",145
NDM072725,102,2,"5,6",145
NDM072725,102,10,E2,145
NDM072725,102,12,"NENW,S2NW",145
NDM072725,102,12,"1,3,8",145
NDM072725,102,24,"1-7,9",145
NDM072725,,,,
NDM036308,102,7,"E2,E2W2",144
NDM036308,102,7,"1,2,3,4",144
NDM036308,102,8,W2,144
NDM036308,102,9,N2,144
NDM036308,102,10,"S2NW,N2SW",144
NDM036308,102,12,N2,144
NDM036308,102,13,W2,144
NDM036308,102,15,W2,144
NDM036308,102,18,NE,144
NDM036308,,,,
NDM036309,102,20,ALL,144
NDM036309,102,21,"W2NW,NWSW",144
NDM036309,102,22,N2NW,144
NDM036309,102,23,E2,144
NDM036309,102,24,W2,144
NDM036309,102,26,"NE,S2NW,NESW,NWSE",144
NDM036309,102,28,"N2NW,W2SW",144
NDM036309,,,,
NDM092907,96,4,"S2N2,SE",147
NDM092907,96,4,"1,2,3,4",147
NDM092907,96,6,S2NE,147
NDM092907,96,6,"1,2,3",147
NDM092907,,,,
NDM093183,103,1,S2,143
NDM093183,103,13,N2NE,143
NDM093183,,,,
NDM093182,102,7,E2NW,143
NDM093182,102,7,"1,2",143
NDM093182,,,,
NDM093181,102,6,"E2SW,SE",143
NDM093181,102,6,"6,7",143
NDM093181,,,,
NDM093180,102,6,"S2NE,SENW",143
NDM093180,102,6,5-Jan,143
NDM093180,,,,
NDM035400,101,6,5,153
NDM035400,101,18,5,153
NDM035400,101,29,W2SW,153
NDM035400,101,30,E2SE,153
NDM035400,101,31,E2NE,153
NDM035400,101,32,W2NW,153
NDM035400,101,33,4-Jan,154
NDM035400,101,33,4-Jan,154
NDM035400,101,34,3-Jan,154
NDM035400,,,,
NDM086238,101,13,"W2NE,W2NW,SE",138
NDM086238,,,,
NDM086237,101,12,"W2NE,W2NW,E2SW,E2SE",138
NDM086237,,,,
NDM086236,101,11,N2,138
NDM086236,,,,
NDM086235,101,3,"S2NE,SE",138
